City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,tavda,58.0425,65.2726,-1.92,93,85,4.73,RU,1703128766
155,vorgashor,67.5833,63.95,-11.08,96,100,4.48,RU,1703128767
156,zapala,-38.8992,-70.0544,15.41,36,0,0.37,AR,1703128767
157,bayanaul,50.7889,75.6956,-4.88,92,100,9.5,KZ,1703128767
158,sechura,-5.5569,-80.8222,22.34,76,96,6.37,PE,1703128767
159,ulan bator,47.9077,106.8832,-32.93,68,2,0.0,MN,1703128767
160,ennis,52.8436,-8.9864,11.96,82,75,10.29,IE,1703128767
161,novyy urengoy,66.0833,76.6333,-11.14,94,100,9.39,RU,1703128767
162,ancud,-41.8697,-73.8203,10.81,92,3,2.11,CL,1703128767
163,yen bai,21.7,104.8667,16.64,56,28,1.36,VN,1703128547
164,maun,-19.9833,23.4167,23.98,69,0,2.57,BW,1703128767
165,gueugnon,46.6036,4.0629,7.21,99,100,3.31,FR,1703128768
166,lautoka,-17.6167,177.4667,30.92,70,40,6.69,FJ,1703128768
167,sur,22.5667,59.5289,21.45,66,90,1.54,OM,1703128768
168,medina,24.4686,39.6142,17.24,27,0,1.54,SA,1703128768
169,cutral-co,-38.9469,-69.2089,19.95,10,2,4.92,AR,1703128768
170,xining,36.6167,101.7667,-5.2,34,32,0.43,CN,1703128768
171,dudinka,69.4058,86.1778,-15.21,91,100,12.07,RU,1703128768
172,pisco,-13.7,-76.2167,21.03,83,100,6.69,PE,1703128768
173,flying fish cove,-10.4217,105.6791,28.82,65,100,2.57,CX,1703128768
174,bereeda,11.8704,51.0579,24.93,81,71,3.05,SO,1703128769
175,cill airne,52.05,-9.5167,10.82,86,100,8.36,IE,1703128769
176,sawakin,19.1059,37.3321,25.07,76,31,1.03,SD,1703128769
177,puerto maldonado,-12.6,-69.1833,24.2,98,98,0.99,PE,1703128769
178,puerto ayora,-0.7393,-90.3518,24.75,97,35,2.24,EC,1703128769
179,tura,25.5198,90.2201,20.09,52,57,0.55,IN,1703128769
180,mendoza,-32.8908,-68.8272,17.74,63,20,1.54,AR,1703128502
181,saint-philippe,-21.3585,55.7679,26.17,77,18,1.43,RE,1703128769
182,susuman,62.7833,148.1667,-37.19,100,97,0.11,RU,1703128769
183,bikenibeu village,1.3673,173.1241,27.98,94,75,6.17,KI,1703128770
184,les cayes,18.2,-73.75,24.72,82,62,4.05,HT,1703128770
185,stavern,59.0,10.0333,-3.79,92,56,1.82,NO,1703128770
186,mount pearl,47.5166,-52.7813,9.29,88,75,8.75,CA,1703128770
187,novodvinsk,64.4165,40.8122,-2.14,94,95,3.52,RU,1703128770
188,san pedro pochutla,15.7333,-96.4667,20.86,69,0,2.08,MX,1703128770
189,tortoli,39.9256,9.6572,12.9,62,0,2.06,IT,1703128770
190,ulaangom,49.9811,92.0667,-26.82,95,100,1.16,MN,1703128770
191,wuwei,37.9281,102.6414,-9.3,33,8,1.13,CN,1703128770
192,padang,-0.9492,100.3543,29.03,88,100,0.7,ID,1703128771
193,gadzhiyevo,69.2551,33.3362,-7.73,92,100,3.22,RU,1703128771
194,zungeru,9.8128,6.1558,22.35,30,5,2.41,NG,1703128771
195,itoman,26.1247,127.6694,16.21,67,75,12.86,JP,1703128548
196,nemuro,43.3236,145.575,-2.09,57,61,6.02,JP,1703128771
197,polyarnyy,69.1989,33.4478,-7.32,91,100,3.18,RU,1703128771
198,anadyr,64.75,177.4833,-23.72,76,20,4.0,RU,1703128771
199,spassk,52.747,87.7545,-6.8,96,100,1.34,RU,1703128771
200,nehe,48.4833,124.8333,-20.77,81,19,1.94,CN,1703128772
201,praia da vitoria,38.7333,-27.0667,15.42,72,100,7.99,PT,1703128772
202,mae sot,16.7167,98.5667,29.12,69,0,1.54,TH,1703128772
203,port elizabeth,-33.918,25.5701,18.51,83,0,2.24,ZA,1703128772
204,novouzensk,50.4592,48.1431,2.02,91,94,5.56,RU,1703128772
205,kudahuvadhoo,2.6708,72.8944,28.1,76,97,2.36,MV,1703128772
206,coquimbo,-29.9533,-71.3436,14.85,88,0,1.54,CL,1703128772
207,lerwick,60.1545,-1.1494,8.0,88,100,15.74,GB,1703128772
208,freeport,40.6576,-73.5832,4.45,71,75,6.17,US,1703128773
